,AAPL,AMZN,GOOGL,META,MSFT,NFLX,TSLA
2018-01-25,40.67711639404297,68.89749908447266,59.106998443603516,187.47999572753906,86.94853210449219,269.70001220703125,22.50933265686035
2018-01-26,40.7722053527832,70.10250091552734,59.37799835205078,190.0,88.57768249511719,274.6000061035156,22.856666564941406
2018-01-29,39.928279876708984,70.88400268554688,59.32400131225586,185.97999572753906,88.44586181640625,284.5899963378906,23.302000045776367
2018-01-30,39.69293975830078,71.89099884033203,58.868499755859375,187.1199951171875,87.33464050292969,278.79998779296875,23.05466651916504
2018-01-31,39.80228042602539,72.54450225830078,59.111000061035156,186.88999938964844,89.47233581542969,270.29998779296875,23.62066650390625
2018-02-01,39.8854866027832,69.5,59.079498291015625,193.08999633789062,88.76605224609375,265.07000732421875,23.28333282470703
2018-02-02,38.154850006103516,71.49749755859375,55.959999084472656,190.27999877929688,86.43058776855469,267.42999267578125,22.916667938232422
2018-02-05,37.20158004760742,69.5,53.11949920654297,181.25999450683594,82.87090301513672,254.25999450683594,22.208667755126953
2018-02-06,38.75629806518555,72.14199829101562,54.221500396728516,185.30999755859375,86.0068130493164,265.7200012207031,22.264667510986328
2018-02-07,37.926639556884766,70.83899688720703,52.77050018310547,180.17999267578125,84.3870849609375,264.55999755859375,23.0
2018-02-08,36.88302230834961,67.5250015258789,50.385501861572266,171.5800018310547,80.05518341064453,250.10000610351562,21.01533317565918
2018-02-09,37.33415985107422,66.9800033569336,52.313499450683594,176.11000061035156,83.04042053222656,249.47000122070312,20.69466781616211
2018-02-12,38.837921142578125,69.3115005493164,52.72800064086914,176.41000366210938,83.93502807617188,257.95001220703125,21.048667907714844
2018-02-13,39.226993560791016,70.72550201416016,52.707000732421875,173.14999389648438,84.59424591064453,258.2699890136719,21.577333450317383
2018-02-14,39.95024490356445,72.55249786376953,53.6349983215332,179.52000427246094,85.91883087158203,266.0,21.487333297729492
2018-02-15,41.29170608520508,73.08799743652344,54.56800079345703,179.9600067138672,87.66919708251953,280.2699890136719,22.271333694458008
2018-02-16,41.15803909301758,72.43450164794922,54.775001525878906,177.36000061035156,87.04476165771484,278.5199890136719,22.365999221801758
2018-02-20,41.01959228515625,73.4175033569336,55.179500579833984,176.00999450683594,87.72598266601562,278.54998779296875,22.31800079345703
2018-02-21,40.83340835571289,74.14600372314453,55.6875,177.91000366210938,86.56221008300781,281.0400085449219,22.219999313354492
