Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 20 days,MA for 50 days,prediction
2018-02-01,58.79949951171875,59.372501373291016,58.46799850463867,59.079498291015625,59.079498291015625,73514000,,,,
2018-02-02,56.37099838256836,56.564998626708984,55.55849838256836,55.959999084472656,55.959999084472656,117842000,,,,
2018-02-05,55.03049850463867,55.7495002746582,52.83700180053711,53.11949920654297,53.11949920654297,83550000,,,,
2018-02-06,51.69900131225586,54.36899948120117,51.5004997253418,54.221500396728516,54.221500396728516,76630000,,,,
2018-02-07,54.24850082397461,54.326499938964844,52.73099899291992,52.77050018310547,52.77050018310547,51942000,,,,
2018-02-08,52.993499755859375,53.19649887084961,50.23500061035156,50.385501861572266,50.385501861572266,66792000,,,,
2018-02-09,51.29399871826172,52.58599853515625,49.849998474121094,52.313499450683594,52.313499450683594,98360000,,,,
2018-02-12,52.833499908447266,53.278499603271484,52.27450180053711,52.72800064086914,52.72800064086914,56240000,,,,
2018-02-13,52.5,53.06100082397461,52.34600067138672,52.707000732421875,52.707000732421875,31586000,,,,
2018-02-14,52.715999603271484,53.77349853515625,52.4900016784668,53.6349983215332,53.6349983215332,41304000,53.69199981689453,,,
2018-02-15,54.17250061035156,54.70500183105469,53.36149978637695,54.56800079345703,54.56800079345703,37396000,53.24085006713867,,,
2018-02-16,54.66899871826172,55.41550064086914,54.57749938964844,54.775001525878906,54.775001525878906,39948000,53.1223503112793,,,
2018-02-20,54.63800048828125,55.81449890136719,54.5,55.179500579833984,55.179500579833984,33754000,53.3283504486084,,,
2018-02-21,55.45500183105469,56.810001373291016,55.3754997253418,55.6875,55.6875,41486000,53.47495040893555,,,
2018-02-22,55.958499908447266,56.27299880981445,55.25749969482422,55.494998931884766,55.494998931884766,28010000,53.74740028381348,,,
2018-02-23,55.93299865722656,56.45000076293945,55.422000885009766,56.40449905395508,56.40449905395508,25292000,54.34930000305176,,,59.079498291015625
2018-02-26,56.59299850463867,57.209999084472656,56.46699905395508,57.185001373291016,57.185001373291016,30912000,54.8364501953125,,,55.959999084472656
2018-02-27,57.185001373291016,57.212501525878906,55.839500427246094,55.8754997253418,55.8754997253418,42964000,55.15120010375976,,,53.11949920654297
2018-02-28,56.099998474121094,56.38249969482422,55.150001525878906,55.19599914550781,55.19599914550781,49292000,55.40009994506836,,,54.221500396728516
2018-03-01,55.47700119018555,55.563499450683594,53.364498138427734,53.570499420166016,53.570499420166016,55338000,55.39365005493164,54.54282493591309,,52.77050018310547
2018-03-02,52.89899826049805,54.34450149536133,52.50550079345703,54.207000732421875,54.207000732421875,50162000,55.357550048828124,54.2992000579834,,50.385501861572266
2018-03-05,53.90650177001953,55.058998107910156,53.61349868774414,54.737998962402344,54.737998962402344,28648000,55.35384979248047,54.23810005187988,,52.313499450683594
2018-03-06,55.10499954223633,55.28150177001953,54.724998474121094,55.04499816894531,55.04499816894531,23382000,55.3403995513916,54.334375,,52.72800064086914
2018-03-07,54.64099884033203,55.810001373291016,54.49549865722656,55.75199890136719,55.75199890136719,30748000,55.34684944152832,54.41089992523193,,52.707000732421875
2018-03-08,55.86000061035156,56.571998596191406,55.86000061035156,56.46900177001953,56.46900177001953,33862000,55.4442497253418,54.595825004577634,,53.6349983215332
2018-03-09,56.974998474121094,58.04999923706055,56.714500427246094,58.04199981689453,58.04199981689453,42662000,55.60799980163574,54.97864990234375,,54.56800079345703
2018-03-12,58.252498626708984,58.90800094604492,57.959999084472656,58.29650115966797,58.29650115966797,44306000,55.71914978027344,55.27779998779297,,54.775001525878906
2018-03-13,58.59149932861328,58.900001525878906,56.72850036621094,56.99549865722656,56.99549865722656,43140000,55.831149673461915,55.49117488861084,,55.179500579833984
2018-03-14,57.290000915527344,57.987998962402344,57.11750030517578,57.44449996948242,57.44449996948242,41870000,56.055999755859375,55.72804985046387,,55.6875
2018-03-15,57.47850036621094,58.125,56.78300094604492,57.53049850463867,57.53049850463867,33382000,56.45199966430664,55.92282485961914,,55.494998931884766
2018-03-16,57.76750183105469,57.84049987792969,56.56800079345703,56.72100067138672,56.72100067138672,58656000,56.703399658203125,56.03047485351563,,56.40449905395508
2018-03-19,55.88800048828125,55.96849822998047,54.44599914550781,55.003501892089844,55.003501892089844,63656000,56.729949951171875,56.041899871826175,,57.185001373291016
2018-03-20,54.91999816894531,55.27750015258789,54.12099838256836,54.790000915527344,54.790000915527344,54598000,56.70445022583008,56.02242488861084,,55.8754997253418
2018-03-21,54.628501892089844,55.435001373291016,54.36050033569336,54.70000076293945,54.70000076293945,44898000,56.599250411987306,55.97304992675781,,55.19599914550781
2018-03-22,54.0004997253418,54.19599914550781,52.481998443603516,52.657501220703125,52.657501220703125,69312000,56.21810035705566,55.83117504119873,,53.570499420166016
2018-03-23,52.56850051879883,53.3390007019043,51.243499755859375,51.32749938964844,51.32749938964844,49880000,55.54665031433105,55.5773250579834,,54.207000732421875
2018-03-26,52.529998779296875,52.9635009765625,50.52899932861328,52.704498291015625,52.704498291015625,65984000,54.98745002746582,55.353299903869626,,54.737998962402344
2018-03-27,53.19499969482422,53.22700119018555,49.88100051879883,50.34700012207031,50.34700012207031,60816000,54.32260017395019,55.07687492370606,,55.04499816894531
2018-03-28,50.09550094604492,51.2495002746582,49.20000076293945,50.25899887084961,50.25899887084961,77698000,53.60405006408691,54.83002490997315,,55.75199890136719
2018-03-29,50.56050109863281,52.40250015258789,50.20199966430664,51.856998443603516,51.856998443603516,69338000,53.036700057983396,54.74434986114502,,56.46900177001953
2018-04-02,51.38100051879883,51.97650146484375,49.712501525878906,50.631500244140625,50.631500244140625,65068000,52.42775001525879,54.56557483673096,,58.04199981689453
2018-04-03,50.807498931884766,51.25,49.86249923706055,50.933998107910156,50.933998107910156,51322000,52.02079963684082,54.37537479400635,,58.29650115966797
2018-04-04,49.9114990234375,51.637001037597656,49.82550048828125,51.48550033569336,51.48550033569336,50724000,51.69034957885742,54.19739990234375,,56.99549865722656
2018-04-05,52.31949996948242,52.33549880981445,51.20000076293945,51.63199996948242,51.63199996948242,35836000,51.383549499511716,53.991399955749515,,57.44449996948242
2018-04-06,51.154998779296875,51.79999923706055,50.3125,50.497501373291016,50.497501373291016,40134000,51.167549514770506,53.69282493591309,,57.53049850463867
2018-04-09,51.00199890136719,52.22949981689453,50.959999084472656,51.00450134277344,51.00450134277344,33220000,51.13524971008301,53.34095001220703,,56.72100067138672
2018-04-10,51.51300048828125,52.06050109863281,50.77050018310547,51.82500076293945,51.82500076293945,36620000,51.04729995727539,53.017374992370605,,55.003501892089844
2018-04-11,51.599998474121094,51.79349899291992,50.959999084472656,51.25299835205078,51.25299835205078,34060000,51.137899780273436,52.73024997711182,,54.790000915527344
2018-04-12,51.57350158691406,52.23249816894531,51.3025016784668,51.864498138427734,51.864498138427734,32896000,51.29844970703125,52.45124988555908,,54.70000076293945
2018-04-13,52.34450149536133,52.64899826049805,51.50749969482422,51.801998138427734,51.801998138427734,25410000,51.29294967651367,52.164824867248534,53.97345985412598,52.657501220703125
2018-04-16,52.27750015258789,52.57149887084961,51.69599914550781,52.30500030517578,52.30500030517578,29776000,51.46029968261719,51.944024848937985,53.83796989440918,51.32749938964844
2018-04-17,53.060001373291016,54.25,52.85449981689453,53.96799850463867,53.96799850463867,54584000,51.76369972229004,51.89224967956543,53.7981298828125,52.704498291015625
